repetition	sampled_tips	observed_trees	p	R	R_min	R_max	infectious_time	infectious_time_min	infectious_time_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max	pn	pn_min	pn_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	psi_p	psi_p_min	psi_p_max
1	11117	8838	0.58	1.24	1.22	1.27	2.34	2.29	2.39	8	5	12	0.007	0.004	0.010	0.53	0.52	0.54	0.43	0.42	0.44	46.05	30.91	68.78
2	11109	8833	0.58	1.24	1.21	1.27	2.33	2.28	2.39	6	4	10	0.006	0.003	0.009	0.53	0.52	0.54	0.43	0.42	0.44	59.34	35.87	99.31
3	11122	8844	0.58	1.24	1.22	1.27	2.34	2.28	2.39	16	3	18	0.006	0.003	0.010	0.53	0.52	0.54	0.43	0.42	0.44	23.33	20.84	123.52
4	11119	8838	0.58	1.24	1.22	1.27	2.34	2.28	2.39	7	5	11	0.007	0.004	0.010	0.53	0.52	0.54	0.43	0.42	0.44	48.88	32.66	73.60
5	11116	8829	0.58	1.24	1.22	1.27	2.33	2.28	2.39	9	6	13	0.006	0.003	0.009	0.53	0.52	0.54	0.43	0.42	0.44	42.25	27.57	64.86
6	11111	8827	0.58	1.24	1.22	1.27	2.34	2.28	2.39	8	5	12	0.006	0.003	0.009	0.53	0.52	0.54	0.43	0.42	0.44	47.55	30.79	71.74
7	11119	8838	0.58	1.24	1.22	1.27	2.33	2.28	2.39	7	5	11	0.006	0.003	0.009	0.53	0.52	0.54	0.43	0.42	0.44	49.04	32.09	75.54
8	11111	8830	0.58	1.24	1.21	1.27	2.33	2.28	2.39	6	4	11	0.006	0.003	0.008	0.53	0.52	0.54	0.43	0.42	0.44	57.34	34.70	94.97
9	11120	8833	0.58	1.24	1.21	1.27	2.33	2.28	2.39	7	4	12	0.006	0.003	0.009	0.53	0.52	0.54	0.43	0.42	0.44	50.70	31.71	82.51
10	11112	8827	0.58	1.25	1.22	1.27	2.34	2.29	2.39	7	5	11	0.006	0.004	0.009	0.53	0.52	0.54	0.43	0.42	0.44	51.06	32.87	79.80
