repetition	sampled_tips	observed_trees	p	R	R_min	R_max	infectious_time	infectious_time_min	infectious_time_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max	upsilon	upsilon_min	upsilon_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	phi	phi_min	phi_max
1	11117	8838	0.58	1.24	1.20	1.29	2.34	2.25	2.42	8	4	15	0.008	0.004	0.015	0.53	0.51	0.55	0.43	0.41	0.44	44.25	25.06	89.73
2	11109	8833	0.58	1.24	1.20	1.29	2.33	2.25	2.42	7	2	14	0.007	0.003	0.013	0.53	0.51	0.55	0.43	0.41	0.45	54.96	26.42	148.86
3	11122	8844	0.58	1.24	1.20	1.29	2.34	2.25	2.42	8	4	13	0.008	0.004	0.014	0.53	0.51	0.55	0.43	0.41	0.44	48.34	27.07	95.97
4	11119	8838	0.58	1.24	1.20	1.29	2.34	2.25	2.42	8	4	14	0.008	0.004	0.015	0.53	0.51	0.55	0.43	0.41	0.44	45.97	25.67	95.83
5	11116	8829	0.58	1.24	1.20	1.29	2.34	2.25	2.42	9	4	17	0.007	0.002	0.014	0.53	0.51	0.55	0.43	0.41	0.45	40.67	22.01	87.37
6	11111	8827	0.58	1.24	1.20	1.29	2.34	2.25	2.42	8	4	15	0.007	0.002	0.013	0.53	0.51	0.55	0.43	0.41	0.45	44.93	23.90	93.77
7	11119	8838	0.58	1.24	1.20	1.29	2.33	2.24	2.42	8	4	15	0.007	0.002	0.013	0.53	0.51	0.55	0.43	0.41	0.45	46.63	24.82	103.35
8	11111	8830	0.58	1.24	1.20	1.29	2.33	2.24	2.42	7	3	14	0.007	0.003	0.013	0.53	0.51	0.55	0.43	0.41	0.45	53.77	25.95	133.80
9	11120	8833	0.58	1.24	1.20	1.29	2.33	2.24	2.42	8	3	15	0.007	0.002	0.013	0.53	0.51	0.55	0.43	0.41	0.45	48.15	24.20	128.49
10	11112	8827	0.58	1.25	1.20	1.29	2.34	2.25	2.42	8	3	14	0.008	0.003	0.013	0.53	0.51	0.55	0.43	0.41	0.44	48.05	25.42	111.53
