repetition	sampled_tips	observed_trees	p	R	R_min	R_max	infectious_time	infectious_time_min	infectious_time_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max	pn	pn_min	pn_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	psi_p	psi_p_min	psi_p_max
1	11117	8838	0.58	1.24	1.22	1.27	2.34	2.28	2.40	8	5	12	0.008	0.005	0.012	0.53	0.52	0.54	0.43	0.42	0.44	44.28	30.97	66.78
2	11109	8833	0.58	1.24	1.21	1.27	2.33	2.28	2.40	7	4	11	0.007	0.003	0.011	0.53	0.52	0.54	0.43	0.42	0.44	54.01	34.50	95.38
3	11122	8844	0.58	1.24	1.22	1.27	2.34	2.28	2.39	8	5	11	0.008	0.005	0.012	0.53	0.52	0.54	0.43	0.42	0.44	48.46	33.62	72.83
4	11119	8838	0.58	1.30	1.26	1.32	2.40	2.27	2.43	11	3	13	0.006	0.002	0.016	0.54	0.53	0.55	0.42	0.41	0.44	34.29	28.27	134.29
5	11116	8829	0.58	1.24	1.22	1.27	2.34	2.28	2.39	9	6	13	0.007	0.004	0.011	0.53	0.52	0.54	0.43	0.42	0.44	40.55	27.68	62.48
6	11111	8827	0.58	1.25	1.22	1.27	2.34	2.28	2.40	8	5	12	0.007	0.004	0.011	0.53	0.52	0.55	0.43	0.42	0.44	44.88	30.29	69.33
7	11119	8838	0.58	1.24	1.21	1.27	2.33	2.28	2.39	8	5	12	0.007	0.004	0.011	0.53	0.52	0.54	0.43	0.42	0.44	46.65	31.46	73.45
8	11111	8830	0.58	1.24	1.21	1.27	2.33	2.28	2.40	7	4	11	0.007	0.003	0.011	0.53	0.52	0.54	0.43	0.42	0.44	53.72	33.99	91.96
9	11120	8833	0.58	1.24	1.21	1.27	2.33	2.28	2.39	8	4	12	0.007	0.003	0.011	0.53	0.52	0.54	0.43	0.42	0.44	48.33	31.25	83.56
10	11112	8827	0.58	1.25	1.22	1.28	2.34	2.28	2.40	8	5	11	0.008	0.004	0.012	0.53	0.52	0.55	0.43	0.42	0.44	47.77	32.12	77.57
