	loglikelihood BDPN	loglikelihood BD	loglikelihood ratio
1	-28983.586355719886	-29001.76208201257	36.35145258536795
2	-28966.759678181803	-28981.644084815216	29.768813266826328
3	-28989.026448929155	-29007.457580835267	36.86226381222514
4	-28989.543346204908	-29001.69628056822	24.305868726623885
5	-28974.819837885218	-28987.157135192756	24.674594615076785
6	-28960.967221763112	-28974.785118010193	27.63579249416216
7	-28986.14814902202	-29000.01355569511	27.730813346177456
8	-28970.409689435903	-28984.57717700018	28.334975128556835
9	-28986.939549247996	-29000.23595019185	26.592801887709356
10	-28962.892138498522	-28979.51102767041	33.23777834377688
