	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
0.tree	tree	bd		0.57448	0.552639	0.597355	0.166255	0.136561	0.199628	0			0.166255			0.0820059	0.0820059	0.0820059
0.tree	tree	bdct		0.582975	0.550011	0.619193	0.0476507	0.0316145	0.0695841	0.230335	0.17905	0.286707	15.6187	11.7962	20.3143	0.0820059	0.0820059	0.0820059
0.tree	tree	real	729	0.5681746121284681			0.061365677983347966			0.2313844093702582			13.13361878260166			0.082005859894991		
1.tree	tree	bd		0.267794	0.25112	0.284956	0.126929	0.110204	0.145046	0			0.126929			0.341362	0.341362	0.341362
1.tree	tree	bdct		0.240829	0.221156	0.260852	0.0517463	0.0374739	0.0689116	0.442368	0.368928	0.518062	16.6742	12.9826	20.9795	0.341362	0.341362	0.341362
1.tree	tree	real	659	0.23720448113204376			0.05518155918299009			0.4788185521024252			14.554126476129923			0.3413621869751534		
2.tree	tree	real	593	0.7749808565377819			0.198327895815674			0.2162403393577566			61.18904256552661			0.6290055886002177		
2.tree	tree	bdct		0.788184	0.715923	0.864417	0.183348	0.139186	0.235791	0.188314	0.13388	0.251727	75.9631	49.0908	112.018	0.629006	0.629006	0.629006
2.tree	tree	bd		0.790788	0.733714	0.849869	0.270179	0.227069	0.31785	0			0.270179			0.629006	0.629006	0.629006
3.tree	tree	bdct		0.925929	0.847346	1.00787	0.244758	0.182866	0.317219	0.386454	0.310975	0.465544	51.4656	38.7762	67.0097	0.356812	0.356812	0.356812
3.tree	tree	bd		1.03274	0.96473	1.10324	0.504845	0.436944	0.578241	0			0.504845			0.356812	0.356812	0.356812
3.tree	tree	real	592	0.9097016980087776			0.2744588032625925			0.4502765873130923			53.33996167623351			0.356812441281789		
4.tree	tree	real	798	0.17893611504957896			0.051865752996402024			0.5309462341117653			14.978351330957613			0.4996094081044821		
4.tree	tree	bd		0.204741	0.191211	0.21809	0.106593	0.0942186	0.119943	0			0.106593			0.499609	0.499609	0.499609
4.tree	tree	bdct		0.184742	0.16967	0.200952	0.050168	0.0394125	0.0625652	0.484185	0.414205	0.55521	13.8982	11.2925	16.9901	0.499609	0.499609	0.499609
5.tree	tree	bdct		0.51373	0.475676	0.55567	0.0420737	0.0253875	0.0659146	0.600334	0.517085	0.681516	5.2402	4.20541	6.46115	0.109003	0.109003	0.109003
5.tree	tree	bd		0.62027	0.583985	0.658393	0.327885	0.282556	0.376507	0			0.327885			0.109003	0.109003	0.109003
5.tree	tree	real	586	0.49750100061768926			0.05335703609438352			0.7133395644223949			5.091912381440227			0.1090028642023568		
6.tree	tree	bd		0.243825	0.233391	0.255266	0.110186	0.0956847	0.125443	0			0.110186			0.0800527	0.0800527	0.0800527
6.tree	tree	real	868	0.21732549863295897			0.05002109802085219			0.2958475019698866			7.696179108653602			0.0800527263791593		
6.tree	tree	bdct		0.217314	0.207174	0.227802	0.0453807	0.0335921	0.0596851	0.258808	0.208765	0.313818	7.66361	5.95187	9.75999	0.0800527	0.0800527	0.0800527
7.tree	tree	real	695	4.145010375346803			0.5945991229103817			0.3465891660012909			117.22910100337562			0.6918901612949524		
7.tree	tree	bdct		4.23962	3.86347	4.63372	0.561011	0.40843	0.753545	0.298152	0.232932	0.368748	130.597	94.3691	177.464	0.69189	0.69189	0.69189
7.tree	tree	bd		4.12533	3.84893	4.4112	1.16807	0.98116	1.37669	0			1.16807			0.69189	0.69189	0.69189
8.tree	tree	bdct		1.19052	1.09294	1.29244	0.168077	0.12696	0.218613	0.572586	0.502691	0.641874	35.834	29.5604	43.041	0.708136	0.708136	0.708136
8.tree	tree	bd		1.23985	1.16363	1.31891	0.478167	0.419453	0.542033	0			0.478167			0.708136	0.708136	0.708136
8.tree	tree	real	910	1.2401303143390097			0.17875596586150247			0.58018833536244			32.94692185646167			0.7081355692858959		
9.tree	tree	bdct		1.12995	1.04727	1.21569	0.211017	0.166716	0.262504	0.157307	0.114293	0.207506	55.2153	36.3129	81.9208	0.607558	0.607558	0.607558
9.tree	tree	bd		1.12917	1.06527	1.19489	0.300079	0.257437	0.346795	0			0.300079			0.607558	0.607558	0.607558
9.tree	tree	real	912	1.086261955091591			0.21784929751539928			0.1674302152796227			58.38808032097141			0.6075579650358658		
10.tree	tree	bd		1.36855	1.27841	1.46189	0.433272	0.367418	0.505719	0			0.433272			0.61321	0.61321	0.61321
10.tree	tree	real	688	1.3799117482048662			0.1394486111275333			0.590563196634993			24.67585403126275			0.6132103371497112		
10.tree	tree	bdct		1.37086	1.24578	1.50324	0.123683	0.0853443	0.174221	0.535499	0.456011	0.615335	25.763	20.6692	31.9094	0.61321	0.61321	0.61321
11.tree	tree	bd		0.81097	0.763511	0.860521	0.357681	0.317276	0.400581	0			0.357681			0.621841	0.621841	0.621841
11.tree	tree	real	972	0.7706968528652138			0.14553437715264142			0.6153389294302848			18.597752315846275			0.6218410875631225		
11.tree	tree	bdct		0.760718	0.701365	0.82266	0.130331	0.100019	0.166566	0.581522	0.513375	0.648544	21.0721	17.6563	25.0384	0.621841	0.621841	0.621841
12.tree	tree	bdct		0.404244	0.375891	0.43475	0.0519755	0.0368421	0.0720016	0.484199	0.414217	0.555222	15.0345	12.1891	18.3433	0.230576	0.230576	0.230576
12.tree	tree	real	740	0.39570937702577313			0.05359817731358579			0.5041988175819293			16.97968542562831			0.2305764076971598		
12.tree	tree	bd		0.4447	0.421302	0.469484	0.194249	0.168583	0.2219	0			0.194249			0.230576	0.230576	0.230576
13.tree	tree	bd		0.401991	0.380061	0.425823	0.194861	0.166842	0.225372	0			0.194861			0.103644	0.103644	0.103644
13.tree	tree	real	604	0.3406187728807309			0.06517498256437622			0.468183059303172			26.767465533879733			0.1036440680551156		
13.tree	tree	bdct		0.349221	0.326777	0.373054	0.048659	0.0322762	0.0696388	0.415651	0.344211	0.490407	25.5642	20.1626	31.9183	0.103644	0.103644	0.103644
14.tree	tree	bdct		0.491119	0.454743	0.528294	0.054626	0.0403816	0.0727449	0.540065	0.477303	0.602947	22.5001	18.8177	26.7225	0.510026	0.510026	0.510026
14.tree	tree	bd		0.497594	0.470437	0.525237	0.19582	0.172229	0.221564	0			0.19582			0.510026	0.510026	0.510026
14.tree	tree	real	995	0.4921740592733779			0.05337029731026949			0.5215386278186935			23.3561439928391			0.5100255708623461		
