	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	phi	phi_min	phi_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	upsilon	upsilon_min	upsilon_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max
0	real	754.0	0.7761877986498075			0.1957325409075551						3.965553172971901			5.109012509433994			0.2987834524384259			0					
0	BD(p)		0.76487852863638	0.7342935484859	0.7963257093925245	0.1907806865643465	0.1655754391300192	0.2184319654035433				4.009203145300569	3.8488882795703616	4.174037339591709	5.2416207217218505	4.578084522347929	6.039543094400273	0.2987834524384259	0.2987834524384259	0.2987834524384259						
0	BDPN(p)		0.7648717752103609	0.7342870654607272	0.7963189561790442	0.1877995221588716	0.16226052498871338	0.21545088344680627	54.698478806516256	0.001	1000000.0	4.0728100179259625	3.9099517241558637	4.240260821885304	5.324827180092802	4.64142909976461	6.162928414471472	0.2987834524384259	0.2987834524384259	0.2987834524384259	0.0053535580926632725	0.0	0.01603823666783974	0.0182820440681226	1e-06	1000.0
1	real	614.0	0.09150178505549886			0.05918472743747275						1.5460371115532854			16.896250828500918			0.412557149301818			0					
1	BD(p)		0.08813268856193382	0.08268689552681296	0.09385423016108224	0.05896561568708032	0.05353133921641655	0.06468732418155844				1.4946454392952973	1.4022900390901896	1.5916772693284398	16.959036013578086	15.458979215051345	18.680646040951807	0.412557149301818	0.412557149301818	0.412557149301818						
1	BDPN(p)		0.08813268856193382	0.08268689552681296	0.09385423016108224	0.05896561568708032	0.05353133921641655	0.06468732418155844	35992.20956631224	0.001	1000000.0	1.4946454392952973	1.4022900390901896	1.5916772693284398	16.959036013578086	15.458979215051345	18.680646040951807	0.412557149301818	0.412557149301818	0.412557149301818	0.0	0.0	0.00390625	2.7783790215979784e-05	1e-06	1000.0
2	real	523.0	0.21635408795492728			0.0801882474338148						2.698077272900871			12.470655389062754			0.8175468342415309			0					
2	BD(p)		0.22177882789685968	0.20625531656036167	0.2379876956946405	0.08758170217013846	0.07608256985066694	0.0999783824659604				2.5322507144931534	2.355004657932828	2.7173221095009032	11.417910079634837	10.002162220822784	13.143614916830176	0.8175468342415309	0.8175468342415309	0.8175468342415309						
2	BDPN(p)		0.2217797688988147	0.2062561913981168	0.2379886366813395	0.08758539571023136	0.07608577284246626	0.09998207596026168	19.52030969544581	0.001	1000000.0	2.53215467145406	2.354915334064339	2.717218261691757	11.417428578029295	10.001792725302627	13.143061608514849	0.8175468342415309	0.8175468342415309	0.8175468342415309	4.2009492188322805e-06	0.0	0.038089978452129435	0.0512286954255293	1e-06	1000.0
3	real	965.0	0.4473149041032432			0.1468825974345976						3.0453907536760374			6.808158471225768			0.8773057189071051			0					
3	BD(p)		0.4598964537032828	0.436593118163663	0.4837273468275364	0.1486189283980194	0.1330497445435408	0.1657825148803429				3.0944675665513124	2.9376683230712985	3.254816543502832	6.728618021803249	6.031999217298468	7.5159858700273405	0.8773057189071051	0.8773057189071051	0.8773057189071051						
3	BDPN(p)		0.4601186915650654	0.4368040705090269	0.4849028149037831	0.14585874158092182	0.13001481672050852	0.1630223754449923	21.14808975906707	0.001	1000000.0	3.1545499884200865	2.994706150448239	3.3244686581555416	6.855948359085522	6.134127277132117	7.691431063197124	0.8773057189071051	0.8773057189071051	0.8773057189071051	0.010809695757965405	0.0	0.02819780657471992	0.04728559465146294	1e-06	1000.0
4	BD(p)		0.4195003092752913	0.3982483404449053	0.44142561701920935	0.1185857645660225	0.1020502664239256	0.13670342782598005				3.537526707446701	3.3583149031617614	3.722416587139733	8.432715374055299	7.3151055237106	9.799092496690934	0.4566571813926974	0.4566571813926974	0.4566571813926974						
4	BDPN(p)		0.4195003092752913	0.3982483404449053	0.44142561701920935	0.1185857645660225	0.1020502664239256	0.13670342782598005	653186.7844255402	0.001	1000000.0	3.537526707446701	3.3583149031617614	3.722416587139733	8.432715374055299	7.3151055237106	9.799092496690934	0.4566571813926974	0.4566571813926974	0.4566571813926974	0.0	0.0	0.00390625	1.5309556528757273e-06	1e-06	1000.0
4	real	637.0	0.41872635048364015			0.13024883603502982						3.214818367904844			7.677611796323882			0.4566571813926974			0					
5	BDPN(p)		0.4858496645578442	0.4583874765262476	0.5134927828055704	0.09678647330450346	0.08181983685067479	0.11395094954988814	319401.11833161203	0.001	1000000.0	5.0198095660464315	4.7360696270448654	5.305418880074822	10.332022294622345	8.775705722067688	12.221974993974246	0.6349737110422649	0.6349737110422649	0.6349737110422649	0.0	0.0	0.00390625	3.1308594197274207e-06	1e-06	1000.0
5	real	607.0	0.49377051921884435			0.10407903377970058						4.744188154782319			9.608083046933881			0.6349737110422649			0					
5	BD(p)		0.4858496645578442	0.4583874765262476	0.5134927828055704	0.09678647330450346	0.08181983685067479	0.11395094954988814				5.0198095660464315	4.7360696270448654	5.305418880074822	10.332022294622345	8.775705722067688	12.221974993974246	0.6349737110422649	0.6349737110422649	0.6349737110422649						
6	BDPN(p)		0.5773461567362183	0.5497670925955203	0.6059398682223651	0.14663466426153846	0.1295681020433894	0.1657053537553994	221465.47064600413	0.001	1000000.0	3.9373101827168258	3.749230070285104	4.132309855066789	6.819669857983882	6.034808033276447	7.7179489722333265	0.6875161265545106	0.6875161265545106	0.6875161265545106	0.0	0.0	0.0029296875	4.515376582557308e-06	1e-06	1000.0
6	real	896.0	0.5708232168623668			0.1572889051116076						3.629138472655318			6.357727516066244			0.6875161265545106			0					
6	BD(p)		0.5773461567362183	0.5497670925955203	0.6059398682223651	0.14663466426153846	0.1295681020433894	0.1657053537553994				3.9373101827168258	3.749230070285104	4.132309855066789	6.819669857983882	6.034808033276447	7.7179489722333265	0.6875161265545106	0.6875161265545106	0.6875161265545106						
7	BDPN(p)		0.16183916359025982	0.15178671586586856	0.17232788331033785	0.13260419688007544	0.12283669789288235	0.14309322328715926	808355.4976980116	0.001	1000000.0	1.2204678841094592	1.1446599688178904	1.2995658309833715	7.541239444362231	6.9884511441412	8.140889629514731	0.7509665463618337	0.7509665463618337	0.7509665463618337	0.0	0.0	0.00390625	1.2370794815495691e-06	1e-06	1000.0
7	BD(p)		0.16183916359025982	0.15178671586586856	0.17232788331033785	0.13260419688007544	0.12283669789288235	0.14309322328715926				1.2204678841094592	1.1446599688178904	1.2995658309833715	7.541239444362231	6.9884511441412	8.140889629514731	0.7509665463618337	0.7509665463618337	0.7509665463618337						
7	real	853.0	0.16302778111167676			0.1334918033008829						1.2212568643201371			7.491096646181767			0.7509665463618337			0					
8	BD(p)		0.22133519966317874	0.21014630280528296	0.2327767584797109	0.15493311439187651	0.14350839105810442	0.16732895968064235				1.4285854933719957	1.3563678986904906	1.502433868920639	6.454398105434536	5.976251821015094	6.9682336525891015	0.3015606451401779	0.3015606451401779	0.3015606451401779						
8	BDPN(p)		0.22133519966317874	0.21014630280528296	0.2327767584797109	0.15493311439187651	0.14350839105810442	0.16732895968064235	769347.1282606719	0.001	1000000.0	1.4285854933719957	1.3563678986904906	1.502433868920639	6.454398105434536	5.976251821015094	6.9682336525891015	0.3015606451401779	0.3015606451401779	0.3015606451401779	0.0	0.0	0.0029296875	1.2998033829810795e-06	1e-06	1000.0
8	real	833.0	0.22945167002882322			0.15375629151133183						1.4923075197343234			6.503798902604906			0.3015606451401779			0					
9	BD(p)		0.5434020069986242	0.5163878445406849	0.5710435335468163	0.14391747384640025	0.12661106099781272	0.16298821516655548				3.7757889467861587	3.5880830224397458	3.967854064450003	6.948426575825509	6.135412913001798	7.898204091483568	0.7304489928830195	0.7304489928830195	0.7304489928830195						
9	BDPN(p)		0.5434020069986242	0.5163878445406849	0.5710435335468163	0.14391747384640025	0.12661106099781272	0.16298821516655548	610343.8083611181	0.001	1000000.0	3.7757889467861587	3.5880830224397458	3.967854064450003	6.948426575825509	6.135412913001798	7.898204091483568	0.7304489928830195	0.7304489928830195	0.7304489928830195	0.0	0.0	0.0029296875	1.6384208151225098e-06	1e-06	1000.0
9	real	848.0	0.532209469355236			0.1390944849767228						3.826244221288143			7.189357652586643			0.7304489928830195			0					
10	BDPN(p)		0.10787092779108716	0.10286135305087996	0.11359235644712473	0.0659926439521737	0.06091509364341013	0.07171431223767355	712424.942882531	0.001	1000000.0	1.6345901805247196	1.5586790722527468	1.7212881564413085	15.15320405596602	13.944217950328078	16.41629258347502	0.4658447852104491	0.4658447852104491	0.4658447852104491	0.0	0.0	0.0029296875	1.4036566377840678e-06	1e-06	1000.0
10	real	970.0	0.10952934411184516			0.06846227353923433						1.5998496463760603			14.606584740819635			0.4658447852104491			0					
10	BD(p)		0.10787092779108716	0.10286135305087996	0.11359235644712473	0.0659926439521737	0.06091509364341013	0.07171431223767355				1.6345901805247196	1.5586790722527468	1.7212881564413085	15.15320405596602	13.944217950328078	16.41629258347502	0.4658447852104491	0.4658447852104491	0.4658447852104491						
11	real	876.0	0.2404657828822794			0.1202784815366755						1.9992419243250608			8.31403911343093			0.4438036290312925			0					
