	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	phi	phi_min	phi_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	upsilon	upsilon_min	upsilon_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max
0	real	899.0	0.7761877986498075			0.1957325409075551			64.30877242359675			3.965553172971901			5.109012509433994			0.2987834524384259			0.4834119112256407			0.015549978056074215		
0	BD(p)		0.9095453539786948	0.8713935471221677	0.9486104371395596	0.4472299561262426	0.4062674406224664	0.49012610733700296				2.033730839179188	1.9484239264066503	2.121079825144336	2.2359861773608998	2.040291233277267	2.4614327903507127	0.2987834524384259	0.2987834524384259	0.2987834524384259						
0	BDPN(p)		0.8032380002854934	0.7695502717578799	0.8375426986878883	0.17983832771079986	0.15259342622360764	0.20939691479637204	56.8926386467433	50.01383394952661	64.48062325968161	4.466445003743528	4.279122707343024	4.657197991936128	5.560549926866046	4.775619549946329	6.553362256475048	0.2987834524384259	0.2987834524384259	0.2987834524384259	0.4315092057945722	0.3918980091688985	0.4720363815533576	0.017576966436891443	0.015508534958986341	0.019994467950791156
1	real	700.0	0.09150178505549886			0.05918472743747275			28.711339782654175			1.5460371115532854			16.896250828500918			0.412557149301818			0.5614393500732452			0.03482944396081946		
1	BD(p)		0.1121844418449066	0.10523541422959994	0.11885941314780413	0.08902357737319731	0.08214673539091627	0.09665229270845296				1.2601655107007912	1.1821072274869464	1.33514532503599	11.232979279274325	10.346366050689065	12.173338298122792	0.412557149301818	0.412557149301818	0.412557149301818						
1	BDPN(p)		0.0945119341929886	0.08866743830592683	0.10118702347260272	0.054744614328403635	0.04886629713623448	0.06141996908351885	34.66905167143363	29.923989057103192	40.07519178482745	1.7264151981421878	1.619655913073493	1.8483466312430108	18.266637043073683	16.28134977795577	20.46400195234964	0.412557149301818	0.412557149301818	0.412557149301818	0.4890357318711222	0.4403231882667721	0.538934586180583	0.02884416941880107	0.02495309330942745	0.033418004467643835
2	real	998.0	0.21635408795492728			0.0801882474338148			8.884141165980946			2.698077272900871			12.470655389062754			0.8175468342415309			0.03657238462090008			0.11256012047953368		
2	BD(p)		0.21330447620435472	0.2025233895221024	0.22474612692522333	0.08646362196328214	0.0777837228576363	0.09599954054598894				2.466985205580876	2.3422959265817758	2.5993142760161563	11.565557598600973	10.41671652085612	12.856160174156884	0.8175468342415309	0.8175468342415309	0.8175468342415309						
2	BDPN(p)		0.21249050294090535	0.20175075083843752	0.22393216297695875	0.08170717575498394	0.07287982840678259	0.09124313969869663	7.870526350092173	3.3699488415250554	17.422095498880175	2.600634533961896	2.469192564474745	2.7406670333149954	12.238827138006938	10.95972807711575	13.7212178165191	0.8175468342415309	0.8175468342415309	0.8175468342415309	0.04182649630041893	0.020913248150209462	0.07083370197882423	0.12705630545132332	0.0573983766800197	0.2967404097290256
3	real	626.0	0.4473149041032432			0.1468825974345976			63.39173902070609			3.0453907536760374			6.808158471225768			0.8773057189071051			0.3665120690933048			0.01577492612520636		
3	BD(p)		0.4586522226377419	0.4282612547282044	0.4901090407192668	0.2348755528207496	0.20929541423098008	0.2625256121478448				1.952745686511581	1.8233538977768424	2.086675411013526	4.257573800212285	3.8091521502170105	4.7779355494927005	0.8773057189071051	0.8773057189071051	0.8773057189071051						
