	type	lambda	psi	psi_p	p	pn	R_naught	infectious_time	partner_removal_time	lambda_error	psi_error	psi_p_error	p_error	pn_error	R_naught_error	infectious_time_error	partner_removal_time_error
0	BDPN(psi)	0.1840266948362113	0.0717598517429793	38.47233607100039	0.1181188728947106	0.1853389017968048	2.564479863968164	13.935368812935636	0.0259927028645858	-0.012418086517386368	-1.3537446398668919e-15	0.10785490054904896	-0.019216215074271015	-0.04977181405059672	-0.012418086517386273	0.0	-0.09735471720673618
0	BDPN(p)	0.1760418866026212	0.0613158266691707	38.34576634410334	0.1373350879689816	0.1867388317078654	2.8710676535840327	16.30900298214188	0.0260784982369709	-0.05526867512975634	-0.1455413412950715	0.10421018056258186	0.0	-0.04837188413953611	0.10564895708604259	0.17033163607431018	-0.09437531223402695
0	BDPN(lambda)	0.1863406896418938	0.0705203573405501	38.46474323283514	0.1152928763692074	0.1851561424708331	2.642367348509527	14.18030250713132	0.0259978337551037	0.0	-0.01727281163942164	0.10763625609359073	-0.02204221159977421	-0.04995457337656842	0.017576405582342587	0.017576405582342514	-0.09717653742502447
1	BDPN(psi)	0.2344130479460381	0.1367915364453525	13.846551438170756	0.9	0.6489416683962687	1.7136516924764915	7.310393800565974	0.0722201484221769	-0.03300737421496592	0.0	0.07895502975857976	0.2553181094089054	0.017008725460322616	-0.033007374214966	0.0	-0.07317731284523239
1	BDPN(lambda)	0.2424145145426879	0.109411366796509	13.762201146772655	0.9	0.6456276555739181	2.215624588563522	9.139818185983092	0.0726627949508286	0.0	-0.2001598224593503	0.07238226168907365	0.2553181094089054	0.013694712637972062	0.2502497724918024	0.25024977249180247	-0.06749669802917758
1	BDPN(p)	0.2516924821574122	0.1299458421840329	13.821791578900529	0.6446818905910946	0.6248847820053819	1.9369029276131693	7.695513632392887	0.072349520993106	0.03827315221709011	-0.05004472088852083	0.07702568476498935	0.0	-0.007048160930564151	0.0929705587701115	0.052681133511179305	-0.07151703608795273
2	BDPN(p)	0.4527654811632651	0.1414483528096325	65.61875717167901	0.6502420905626694	0.8381424703079475	3.200924381018539	7.069718240875127	0.0152395449579102	0.016831937113424348	-0.041756357446513064	-0.08008626727688327	0.0	-0.008678675228450117	0.06114133395533262	0.04357592953629438	0.08705845388328705
2	BDPN(psi)	0.4295782978947929	0.14761209626469	65.78407834984947	0.9	0.8556692491154283	2.910183574146229	6.774512558963013	0.0152012466402866	-0.03524241364871477	0.0	-0.07776861865529969	0.24975790943733067	0.008848103579030653	-0.03524241364871482	0.0	0.08432658032293956
2	BDPN(lambda)	0.4452707125314855	0.1191336340107984	65.66447018648145	0.9	0.8491241400928419	3.737573492395319	8.393935166196297	0.0152289357876502	0.0	-0.19292770019894273	-0.07944541347389332	0.24975790943733067	0.0023029945564442267	0.239046365792135	0.23904636579213476	0.08630168665357824
3	BDPN(psi)	0.1611274240986828	0.1150916618170136	33.81138838797377	0.687240715615123	0.7083663536404912	1.39999215890081	8.688726743644718	0.0295758336961899	-0.056958981005378696	0.0	0.01760859184160377	0.17535533214018473	-0.08367367944196802	-0.05695898100537906	0.0	-0.0173038946239027
