	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	psi_p	psi_p_min	psi_p_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	pn	pn_min	pn_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max	type_max
0	real	607.0	0.18634068964189388			0.0717598517429794			34.72687267252565			2.5967262350165665			13.935368812935636			0.1373350879689816			0.2351107158474015			0.0287961432470467			
0	BDPN(psi)		0.1840422215753313	0.1768474467526681	0.1914020404383438	0.0717598517429793	0.0717598517429793	0.0717598517429793	38.71351286553288	31.0975395321693	47.49601039095005	2.564696234804262	2.464434394124427	2.667258025056742	13.935368812935636	13.935368812935636	13.935368812935636	0.1176551631378211	0.1016207742592583	0.1360463020714413	0.1843280113315059	0.1520576265243731	0.2197248663695491	0.0258307739592991	0.0210543999752564	0.0321568849189993	BDPN(psi)
0	BDPN(p)		0.1758335928411463	0.1687053677423984	0.1830742838007471	0.0609835127764529	0.0524018871692748	0.0699534647626064	38.56454543363437	30.97552496461608	47.30234250779628	2.8832972197862574	2.7664094779325232	3.0020291627319344	16.397874679107076	14.295217590631031	19.08328218733193	0.1373350879689816	0.1373350879689816	0.1373350879689816	0.1857526044872961	0.1534118775787533	0.2212864285102199	0.0259305532777742	0.0211406020713494	0.0322835529387256	BDPN(p)
0	BDPN(lambda)		0.1863406896418938	0.1863406896418938	0.1863406896418938	0.0703453529452841	0.0610338431503851	0.0799112254697156	38.69956976185777	31.082796517256277	47.47601404727153	2.6489410009333945	2.6489410009333945	2.6489410009333945	14.21558010772677	12.513886429873049	16.384352490077298	0.1149713193133872	0.0991388777388468	0.1331483099476063	0.1841774441179788	0.1520230050748082	0.2194812455779613	0.025840080552668	0.0210632678430903	0.0321721373894021	BDPN(lambda)
1	real	545.0	0.24241451454268795			0.13679153644535258			12.833298011752145			1.772145564280076			7.310393800565974			0.6446818905910946			0.631932942935946			0.077922292390019			
1	BDPN(psi)		0.2265491597813604	0.208900598817023	0.2451713914667346	0.1367915364453525	0.1367915364453525	0.1367915364453525	14.025555906615054	12.075234001190356	16.235087724543583	1.6561635731890876	1.5271456425264849	1.7922994202545506	7.310393800565974	7.310393800565974	7.310393800565974	0.9202594946871528	0.7632997512553101	0.9999600646946714	0.6283645723659592	0.5699703479483513	0.6845724649243792	0.0712984217280369	0.0615949859321202	0.0828141301362293	BDPN(psi)
1	BDPN(lambda)		0.2424145145426879	0.2424145145426879	0.2424145145426879	0.0975852664939109	0.0848046965623436	0.1115015928880084	13.871508426393213	11.963509258547523	16.020272629660557	2.4841302714259013	2.4841302714259013	2.4841302714259013	10.247448574241451	8.968481741820447	11.791799753270224	0.999999	0.9369823089294432	0.999999	0.6305291002400963	0.5729324131514791	0.6859586054653064	0.0720902132097838	0.0624209102502139	0.0835875141974361	BDPN(lambda)
1	BDPN(p)		0.2457116871780837	0.2276988518059665	0.2646315119296588	0.1249830234910953	0.1097575691903089	0.1412828563801202	13.937879051210285	12.017985495388654	16.102824616055777	1.9659604985919548	1.821838242072848	2.1173396557214272	8.001086644149291	7.077999593308822	9.110988949346146	0.6446818905910946	0.6446818905910946	0.6446818905910946	0.6061151669054947	0.5487577539291622	0.6619378146377604	0.0717469276584923	0.062100906135618	0.0832086209775926	BDPN(p)
2	BDPN(p)		0.4324972133250787	0.401077769019853	0.4654145367528535	0.135792718613007	0.1139086468655339	0.1600783131042006	65.74507726936677	57.91981062599983	74.29545330610489	3.1849808866235603	2.953602911234708	3.427389491179046	7.364165105567112	6.246942390935022	8.77896478904251	0.6502420905626694	0.6502420905626694	0.6502420905626694	0.8368261302454142	0.78721425819563	0.8802884351531908	0.0152102642742795	0.0134597738556072	0.0172652498202593	BDPN(p)
2	BDPN(psi)		0.399119086718614	0.3681618286327062	0.431680024207832	0.14761209626469	0.14761209626469	0.14761209626469	65.8281495218167	57.97089736827648	74.41950034397355	2.7038372654970986	2.494116931803057	2.924421745449416	6.774512558963013	6.774512558963013	6.774512558963013	0.999999	0.8547892759704588	0.999999	0.8593022768649112	0.8121281313377597	0.8996632753228531	0.0151910695844272	0.0134373382699146	0.0172500348519226	BDPN(psi)
